cohort,source_count,encoder,contrast,metric,paired_difference,ci95_low,ci95_high,participant_win_fraction,participants
oasis,8,qsf,random_robust minus template_random_robust,normalized_mse,0.007144574887781117,0.006817689909420464,0.007515955192699021,0.0,461
oasis,8,qsf,selected_robust minus template_selected_robust,normalized_rmse,0.048055684138729356,0.04697015081429941,0.049313848118565685,0.0,461
oasis,8,qsf,selected_robust minus template_selected_robust,normalized_mse,0.005780354707854736,0.0054431660638419544,0.006212789247700194,0.0,461
oasis,8,qsf,random_projection minus random_bounded_residual,normalized_rmse,0.0008540709932120682,0.0006658993434440499,0.0010739415716130825,0.2754880694143167,461
oasis,8,qsf,random_projection minus random_bounded_residual,normalized_mse,0.00020174885178383492,0.000138026140645964,0.0002771119360902937,0.2754880694143167,461
oasis,8,qsf,random_robust minus atlas_random_aligned,normalized_rmse,0.06568235428114333,0.06431153558751551,0.06711112437563715,0.0,461
oasis,8,qsf,random_robust minus atlas_random_aligned,normalized_mse,0.008040829066253594,0.007635366605160461,0.008468098257169992,0.0,461
oasis,8,qsf,selected_robust minus atlas_selected_aligned,normalized_rmse,0.0574777473558552,0.05610983721139289,0.058997353849869594,0.0,461
oasis,8,qsf,selected_robust minus atlas_selected_aligned,normalized_mse,0.006505293013278196,0.006110031151131879,0.007003246772326876,0.0,461
oasis,8,qsf,random_projection minus template_random_projection,normalized_rmse,0.05311063799552136,0.051890814756802135,0.05446974933846303,0.0,461
oasis,8,qsf,random_projection minus template_random_projection,normalized_mse,0.007165123170282647,0.006824937858345727,0.007575802241604609,0.0,461
oasis,8,qsf,random_bounded_residual minus template_random_bounded_residual,normalized_rmse,0.05421181317636398,0.05302020973855319,0.05547577977196253,0.0,461
oasis,8,qsf,random_bounded_residual minus template_random_bounded_residual,normalized_mse,0.007128678158663284,0.006800518348081771,0.007513822074702736,0.0,461
oasis,8,qsf,selected_projection minus template_selected_projection,normalized_rmse,0.04745179530609724,0.04630100719490971,0.048715129778728355,0.0,461
oasis,8,qsf,selected_projection minus template_selected_projection,normalized_mse,0.005870010938462607,0.005523967262144321,0.006317852039311807,0.0,461
