cohort,source_count,encoder,policy,graph,scaling,family,equal_participant_nrmse,equal_participant_nmse,row_mean_nrmse,p95,p99,maximum,rows_above_one,participants,records
hcp83,8,heat_norm18,spatial,individual,tanh3,bounded_residual,0.14465288823226427,0.02132168933976498,0.14471023438789055,0.1788434013393035,0.19565960407454194,0.2164101366031531,0,729,3189
hcp83,8,heat_norm18,spatial,individual,tanh3,ordinary,0.14762510279344415,0.022350139585516498,0.14766729418232274,0.18482227833585488,0.20394277739985261,0.5852694586359473,0,729,3189
hcp83,8,heat_norm18,spatial,individual,tanh3,projection,0.1463599156987427,0.02182618140230865,0.1464156194244916,0.18117064524195428,0.19879065031548082,0.2232316742976245,0,729,3189
hcp83,8,heat_norm18,spatial,individual,tanh3,residual,0.14559444568144483,0.021758226623820005,0.14565217683210205,0.1810422984093811,0.20036196069531723,0.6426029079468394,0,729,3189
hcp83,16,qsf,random,individual,tanh3,bounded_residual,0.11838168675399748,0.014574230533546173,0.11839456255423329,0.15690988879489473,0.17315360799130664,0.2157087414870395,0,729,3189
hcp83,16,qsf,random,individual,tanh3,ordinary,0.12160558809973104,0.015378660758303533,0.12164953475320607,0.1622070548408624,0.18177906626762208,0.2274533179963921,0,729,3189
hcp83,16,qsf,random,individual,tanh3,projection,0.12141970371768682,0.015326610161169527,0.12146766659699951,0.16135433933966786,0.18001793051435608,0.2270684819016823,0,729,3189
hcp83,16,qsf,random,individual,tanh3,residual,0.118558092443845,0.014615832974658474,0.11856322243961703,0.15691444958129286,0.17315360799130664,0.2157087414870395,0,729,3189
hcp83,16,qsf,graph_coverage,individual,tanh3,bounded_residual,0.14444928951881653,0.021273584448623827,0.14470842212040866,0.1787962250752949,0.20221667970241472,0.3530836820188686,0,729,3189
hcp83,16,qsf,graph_coverage,individual,tanh3,ordinary,0.14685590224789608,0.02200248151852775,0.14704566276074335,0.1840063023623245,0.20924640032011574,0.3510931265527985,0,729,3189
hcp83,16,qsf,graph_coverage,individual,tanh3,projection,0.14656087690157216,0.021911977081204785,0.14675484801840155,0.1831848719825251,0.20846824698633168,0.3471973772657972,0,729,3189
hcp83,16,qsf,graph_coverage,individual,tanh3,residual,0.1447900727785604,0.021374682632101315,0.14503494263332856,0.17905734196614423,0.20494782067526204,0.3573843226784832,0,729,3189
hcp83,16,qsf,sfh_fixed,individual,tanh3,bounded_residual,0.1414009935381751,0.020428896274505854,0.14159179718390985,0.17675492161279222,0.199005992340171,0.3585093643797545,0,729,3189
hcp83,16,qsf,sfh_fixed,individual,tanh3,ordinary,0.1419807578569233,0.020611015890550262,0.1420897404646256,0.1791377395899035,0.19781223770093137,0.3514560375338734,0,729,3189
hcp83,16,qsf,sfh_fixed,individual,tanh3,projection,0.141895576977006,0.020587083064753313,0.14200385826437043,0.17906951071375113,0.19781223770093137,0.3514560375338734,0,729,3189
hcp83,16,qsf,sfh_fixed,individual,tanh3,residual,0.14160743949513385,0.020485762136730232,0.14180199429495718,0.17691987003290582,0.19931615664341984,0.3585093643797545,0,729,3189
hcp83,16,qsf,spectral,individual,tanh3,bounded_residual,0.11220951161906637,0.013081917634249068,0.11222210021358486,0.14682254288646168,0.1585089147522554,0.1985945137948401,0,729,3189
hcp83,16,qsf,spectral,individual,tanh3,ordinary,0.11511287170368274,0.01376320427292409,0.11513438743941992,0.15103590681913706,0.16388134236080515,0.1963119493153694,0,729,3189
hcp83,16,qsf,spectral,individual,tanh3,projection,0.1149330417759546,0.013723290441894721,0.11494591676842957,0.15076855858646068,0.16363670188693974,0.1963428143169294,0,729,3189
hcp83,16,qsf,spectral,individual,tanh3,residual,0.11231906578200579,0.013106012377996403,0.11234095129639966,0.14682254288646168,0.15852649221641735,0.1982507024677061,0,729,3189
hcp83,16,qsf,qsf_discrimination,individual,tanh3,bounded_residual,0.11288696693135558,0.013132504890765999,0.11301512420495133,0.14471728266114406,0.1582887370321144,0.1986001010481024,0,729,3189
hcp83,16,qsf,qsf_discrimination,individual,tanh3,ordinary,0.11553363497256254,0.013764540723015225,0.115658068684398,0.14987513922917606,0.16440130241007117,0.1936943279163088,0,729,3189
hcp83,16,qsf,qsf_discrimination,individual,tanh3,projection,0.11527192131052992,0.013702115935959904,0.11539422581189042,0.1496763736295899,0.16391376728857704,0.1901203469961351,0,729,3189
hcp83,16,qsf,qsf_discrimination,individual,tanh3,residual,0.11302582179074616,0.013161198926358754,0.11316088778855682,0.14471728266114406,0.15860707484143458,0.2011746701539875,0,729,3189
hcp83,16,qsf,heat_discrimination,individual,tanh3,bounded_residual,0.10951159627041128,0.012465100962396239,0.1095583089437499,0.144041767615923,0.15646094507002192,0.1861285840897738,0,729,3189
