cohort,split_id,mask_id,source_count,encoder,family,alpha,radius,validation_nrmse,validation_nmse,validation_se,alpha_over_inner_N,policy
hcp83,3,1,16,qsf,bounded_residual,0.1,4.0,0.09030770998594091,0.00840234978881946,0.0012122080058686016,6.5651260504201685e-06,heat_discrimination
hcp83,3,1,16,heat_raw18,bounded_residual,0.01,2.0,0.11285929831136866,0.012998226450118595,0.0012464359542313209,6.565126050420168e-07,spectral
hcp83,3,1,16,heat_norm18,bounded_residual,0.001,1.0,0.1089297227609594,0.01210546627024275,0.0011946850787054283,6.565126050420168e-08,spectral
hcp83,3,1,32,qsf,bounded_residual,0.1,4.0,0.07702377563183938,0.006140229586722814,0.0011115400463483972,6.5651260504201685e-06,qsf_discrimination
hcp83,3,1,32,heat_raw18,bounded_residual,0.01,4.0,0.10001938286054379,0.010257201551696161,0.001227959505430405,6.565126050420168e-07,qsf_discrimination
hcp83,3,1,32,heat_norm18,bounded_residual,0.01,4.0,0.09653870790707492,0.009532058961005604,0.0011242374045962525,6.565126050420168e-07,qsf_discrimination
hcp83,3,2,8,qsf,bounded_residual,0.01,2.0,0.14269893223497954,0.020464770922898043,0.0007783746110247043,6.573325445342799e-07,heat_discrimination
hcp83,3,2,8,heat_raw18,bounded_residual,0.001,4.0,0.15637136684085046,0.02456702036880117,0.0008274170981539549,6.573325445342799e-08,qsf_discrimination
hcp83,3,2,8,heat_norm18,bounded_residual,0.001,2.0,0.15841868407324064,0.02522323859166866,0.0008686303126578326,6.573325445342799e-08,heat_discrimination
hcp83,3,2,16,qsf,bounded_residual,0.01,4.0,0.1318339054668693,0.017443069880525176,0.0006118436710825189,6.573325445342799e-07,qsf_discrimination
hcp83,3,2,16,heat_raw18,bounded_residual,0.001,1.0,0.1422054502050028,0.020304848421363215,0.0007005879901047842,6.573325445342799e-08,qsf_discrimination
hcp83,3,2,16,heat_norm18,bounded_residual,0.001,1.0,0.14422972551145777,0.02088385677396077,0.0006971158818162705,6.573325445342799e-08,qsf_discrimination
hcp83,3,2,32,qsf,bounded_residual,0.1,4.0,0.12624919836128015,0.015995981875039134,0.000583104316472223,6.573325445342799e-06,spectral
hcp83,3,2,32,heat_raw18,bounded_residual,0.001,1.0,0.13479531672060532,0.01824716041896048,0.000678684867751863,6.573325445342799e-08,spectral
hcp83,3,2,32,heat_norm18,bounded_residual,0.01,1.0,0.13775191569789547,0.01904858724117524,0.0006591704867227215,6.573325445342799e-07,spectral
hcp83,3,3,8,qsf,bounded_residual,0.01,1.0,0.11737345980536225,0.013936978194049241,0.0009772688113169896,6.812917291184085e-07,heat_discrimination
